Series_2_5
Sweep_2_5_5,  5.021474720E+04, 13:56:54.747, 2020/02/26 13:56:50.717, "YLP"
"Index", "Time[s]"       , "V-mon[V]"      
    118,  5.900000000E-03, -6.753125042E-02
    119,  5.950000000E-03, -6.740625203E-02
    120,  6.000000000E-03, -6.737499684E-02
    121,  6.050000000E-03, -6.731250137E-02
    122,  6.100000000E-03, -6.731250137E-02
    123,  6.150000000E-03, -6.740625203E-02
    124,  6.200000000E-03, -6.734374911E-02
    125,  6.250000000E-03, -6.737499684E-02
    126,  6.300000000E-03, -6.743749976E-02
    127,  6.350000000E-03, -6.743749976E-02
    128,  6.400000000E-03, -6.737499684E-02
    129,  6.450000000E-03, -6.737499684E-02
    130,  6.500000000E-03, -6.737499684E-02
    131,  6.550000000E-03, -6.737499684E-02
    132,  6.600000000E-03, -6.737499684E-02
    133,  6.650000000E-03, -6.743749976E-02
    134,  6.700000000E-03, -6.750000268E-02
    135,  6.750000000E-03, -6.743749976E-02
    136,  6.800000000E-03, -6.740625203E-02
    137,  6.850000000E-03, -6.743749976E-02
    138,  6.900000000E-03, -6.737499684E-02
    139,  6.950000000E-03, -6.734374911E-02
    140,  7.000000000E-03, -6.737499684E-02
    141,  7.050000000E-03, -6.746874750E-02
    142,  7.100000000E-03, -6.737499684E-02
    143,  7.150000000E-03, -6.740625203E-02
    144,  7.200000000E-03, -6.743749976E-02
    145,  7.250000000E-03, -6.740625203E-02
    146,  7.300000000E-03, -6.743749976E-02
    147,  7.350000000E-03, -6.731250137E-02
    148,  7.400000000E-03, -6.737499684E-02
    149,  7.450000000E-03, -6.740625203E-02
    150,  7.500000000E-03, -6.734374911E-02
    151,  7.550000000E-03, -6.731250137E-02
    152,  7.600000000E-03, -6.737499684E-02
    153,  7.650000000E-03, -6.740625203E-02
    154,  7.700000000E-03, -6.740625203E-02
    155,  7.750000000E-03, -6.740625203E-02
    156,  7.800000000E-03, -6.750000268E-02
    157,  7.850000000E-03, -6.743749976E-02
    158,  7.900000000E-03, -6.737499684E-02
    159,  7.950000000E-03, -6.743749976E-02
    160,  8.000000000E-03, -6.734374911E-02
    161,  8.050000000E-03, -6.737499684E-02
    162,  8.100000000E-03, -6.746874750E-02
    163,  8.150000000E-03, -6.743749976E-02
    164,  8.200000000E-03, -6.737499684E-02
    165,  8.250000000E-03, -6.740625203E-02
    166,  8.300000000E-03, -6.743749976E-02
    167,  8.350000000E-03, -6.740625203E-02
    168,  8.400000000E-03, -6.743749976E-02
    169,  8.450000000E-03, -6.753125042E-02
    170,  8.500000000E-03, -6.740625203E-02
    171,  8.550000000E-03, -6.740625203E-02
    172,  8.600000000E-03, -6.734374911E-02
    173,  8.650000000E-03, -6.740625203E-02
    174,  8.700000000E-03, -6.743749976E-02
    175,  8.750000000E-03, -6.743749976E-02
    176,  8.800000000E-03, -6.750000268E-02
    177,  8.850000000E-03, -6.740625203E-02
    178,  8.900000000E-03, -6.740625203E-02
    179,  8.950000000E-03, -6.740625203E-02
    180,  9.000000000E-03, -6.737499684E-02
    181,  9.050000000E-03, -6.740625203E-02
    182,  9.100000000E-03, -6.734374911E-02
    183,  9.150000000E-03, -6.743749976E-02
    184,  9.200000000E-03, -6.740625203E-02
    185,  9.250000000E-03, -6.737499684E-02
    186,  9.300000000E-03, -6.728125364E-02
    187,  9.350000000E-03, -6.743749976E-02
    188,  9.400000000E-03, -6.746874750E-02
    189,  9.450000000E-03, -6.743749976E-02
    190,  9.500000000E-03, -6.734374911E-02
    191,  9.550000000E-03, -6.737499684E-02
    192,  9.600000000E-03, -6.734374911E-02
    193,  9.650000000E-03, -6.743749976E-02
    194,  9.700000000E-03, -6.731250137E-02
    195,  9.750000000E-03, -6.740625203E-02
    196,  9.800000000E-03, -6.743749976E-02
    197,  9.850000000E-03, -6.737499684E-02
    198,  9.900000000E-03, -6.737499684E-02
    199,  9.950000000E-03, -6.737499684E-02
    200,  1.000000000E-02, -6.740625203E-02
    201,  1.005000000E-02, -6.737499684E-02
    202,  1.010000000E-02, -6.740625203E-02
    203,  1.015000000E-02, -6.750000268E-02
    204,  1.020000000E-02, -6.743749976E-02
    205,  1.025000000E-02, -6.740625203E-02
    206,  1.030000000E-02, -6.750000268E-02
    207,  1.035000000E-02, -6.750000268E-02
    208,  1.040000000E-02, -6.734374911E-02
    209,  1.045000000E-02, -6.740625203E-02
    210,  1.050000000E-02, -6.750000268E-02
    211,  1.055000000E-02, -6.746874750E-02
    212,  1.060000000E-02, -6.737499684E-02
    213,  1.065000000E-02, -6.743749976E-02
    214,  1.070000000E-02, -6.740625203E-02
    215,  1.075000000E-02, -6.743749976E-02
    216,  1.080000000E-02, -6.737499684E-02
    217,  1.085000000E-02, -6.743749976E-02
    218,  1.090000000E-02, -6.740625203E-02
    219,  1.095000000E-02, -6.740625203E-02
    220,  1.100000000E-02, -6.743749976E-02
    221,  1.105000000E-02, -6.743749976E-02
    222,  1.110000000E-02, -6.746874750E-02
    223,  1.115000000E-02, -6.746874750E-02
    224,  1.120000000E-02, -6.734374911E-02
    225,  1.125000000E-02, -6.737499684E-02
    226,  1.130000000E-02, -6.743749976E-02
    227,  1.135000000E-02, -6.746874750E-02
    228,  1.140000000E-02, -6.737499684E-02
    229,  1.145000000E-02, -6.731250137E-02
    230,  1.150000000E-02, -6.734374911E-02
    231,  1.155000000E-02, -6.750000268E-02
    232,  1.160000000E-02, -6.743749976E-02
    233,  1.165000000E-02, -6.740625203E-02
    234,  1.170000000E-02, -6.753125042E-02
    235,  1.175000000E-02, -6.737499684E-02
    236,  1.180000000E-02, -6.734374911E-02
    237,  1.185000000E-02, -6.740625203E-02
    238,  1.190000000E-02, -6.746874750E-02
    239,  1.195000000E-02, -6.750000268E-02
    240,  1.200000000E-02, -6.746874750E-02
    241,  1.205000000E-02, -6.746874750E-02
    242,  1.210000000E-02, -6.753125042E-02
    243,  1.215000000E-02, -6.750000268E-02
    244,  1.220000000E-02, -6.740625203E-02
    245,  1.225000000E-02, -6.740625203E-02
    246,  1.230000000E-02, -6.746874750E-02
    247,  1.235000000E-02, -6.740625203E-02
    248,  1.240000000E-02, -6.743749976E-02
    249,  1.245000000E-02, -6.753125042E-02
    250,  1.250000000E-02, -6.743749976E-02
    251,  1.255000000E-02, -6.743749976E-02
    252,  1.260000000E-02, -6.746874750E-02
    253,  1.265000000E-02, -6.753125042E-02
    254,  1.270000000E-02, -6.746874750E-02
    255,  1.275000000E-02, -6.740625203E-02
